"Hala Kilig Overload ^__^ @iamAlyloony @SelectaCornetto 
#ThatOneSummer #KumoCornetto http://t.co/4ysMcXEgxO"
I'm taking a short break at this cute and short #KITKATBench #mybreak ❤ @kitkat_ph http://t.co/0ur1bRD9tw
My baby girl Taking a break on a #KITKATBench after shopping for some @kitkat_ph #mybreak http://t.co/UgkdsBk0Y1 http://t.co/tnlVWNfqia
"Today stats: One follower, No unfollowers via http://t.co/zcuTaeHH83"
"Today stats: No new followers, 2 unfollowers via http://t.co/zcuTaeHH83"
"Today stats: 2 followers, 5 unfollowers via http://t.co/zcuTaeHH83"
"Today stats: One follower, No unfollowers via http://t.co/zcuTaeq6gv"
"Today stats: 2 followers, One unfollower via http://t.co/zcuTaeHH83"
"Today stats: No new followers, One unfollower via http://t.co/zcuTaeHH83"
"Today stats: 2 followers, No unfollowers via http://t.co/zcuTaeHH83"
"Today stats: One follower, One unfollower via http://t.co/zcuTaeHH83"
"Today stats: One follower, One unfollower via http://t.co/zcuTaeHH83"
"Today stats: One follower, One unfollower via http://t.co/zcuTaeHH83"
"Today stats: One follower, No unfollowers via http://t.co/zcuTaeHH83"
"Today stats: No new followers, One unfollower via http://t.co/zcuTaeHH83"
"Today stats: One follower, 2 unfollowers via http://t.co/zcuTaeHH83"
"Today stats: One follower, No unfollowers via http://t.co/zcuTaeHH83"
"Today stats: No new followers, One unfollower and followed one person via http://t.co/zcuTaeHH83"
"Today stats: No new followers, One unfollower via http://t.co/zcuTaeHH83"
"Today stats: One follower, No unfollowers via http://t.co/zcuTaeHH83"
"Today stats: One follower, One unfollower via http://t.co/zcuTaeHH83"
"Today stats: No new followers, One unfollower via http://t.co/zcuTaeHH83"
Good night sleep for moms - Giveaway http://t.co/Z2oScUPKsk
Good night sleep for moms - Giveaway http://t.co/oaut5mLWdE
"Today stats: 2 followers, No unfollowers via http://t.co/zcuTaeHH83"
"Today stats: One follower, No unfollowers via http://t.co/zcuTaeHH83"
"Today stats: One follower, No unfollowers via http://t.co/zcuTaeHH83"
"Today stats: No new followers, One unfollower via http://t.co/zcuTaeHH83"
"Today stats: No new followers, One unfollower and followed one person via http://t.co/zcuTaeHH83"
Summer OOTD is best taken with O+360 HD cause clearer is better!. #Oplus360HD #Oplus360Moments #Summer @OPLUSUSA http://t.co/gvySTh7gW0
