"hala kilig overload ^__^ @iamalyloony @selectacornetto 
#thatonesummer #kumocornetto http://t.co/4ysmcxegxo" 
taking short break cute short #kitkatbench #mybreak ❤ @kitkat_ph http://t.co/0ur1brd9tw 
baby girl taking break #kitkatbench shopping @kitkat_ph #mybreak http://t.co/ugkdsbk0y1 http://t.co/tnlvwnfqia 
"today stats: one follower, unfollowers via http://t.co/zcutaehh83" 
"today stats: new followers, 2 unfollowers via http://t.co/zcutaehh83" 
"today stats: 2 followers, 5 unfollowers via http://t.co/zcutaehh83" 
"today stats: one follower, unfollowers via http://t.co/zcutaeq6gv" 
"today stats: 2 followers, one unfollower via http://t.co/zcutaehh83" 
"today stats: new followers, one unfollower via http://t.co/zcutaehh83" 
"today stats: 2 followers, unfollowers via http://t.co/zcutaehh83" 
"today stats: one follower, one unfollower via http://t.co/zcutaehh83" 
"today stats: one follower, one unfollower via http://t.co/zcutaehh83" 
"today stats: one follower, one unfollower via http://t.co/zcutaehh83" 
"today stats: one follower, unfollowers via http://t.co/zcutaehh83" 
"today stats: new followers, one unfollower via http://t.co/zcutaehh83" 
"today stats: one follower, 2 unfollowers via http://t.co/zcutaehh83" 
"today stats: one follower, unfollowers via http://t.co/zcutaehh83" 
"today stats: new followers, one unfollower followed one person via http://t.co/zcutaehh83" 
"today stats: new followers, one unfollower via http://t.co/zcutaehh83" 
"today stats: one follower, unfollowers via http://t.co/zcutaehh83" 
"today stats: one follower, one unfollower via http://t.co/zcutaehh83" 
"today stats: new followers, one unfollower via http://t.co/zcutaehh83" 
good night sleep moms - giveaway http://t.co/z2oscupksk 
good night sleep moms - giveaway http://t.co/oaut5mlwde 
"today stats: 2 followers, unfollowers via http://t.co/zcutaehh83" 
"today stats: one follower, unfollowers via http://t.co/zcutaehh83" 
"today stats: one follower, unfollowers via http://t.co/zcutaehh83" 
"today stats: new followers, one unfollower via http://t.co/zcutaehh83" 
"today stats: new followers, one unfollower followed one person via http://t.co/zcutaehh83" 
summer ootd best taken o+360 hd clearer better!. #oplus360hd #oplus360moments #summer @oplususa http://t.co/gvysth7gw0 
